Timestamp,Enclosure Pressure,Hepa Blockage,Running Mode
09:54:16,8.8,44.9,Manual
09:54:16,8.8,44.0,Manual
09:54:17,12.5,44.4,Manual
09:54:17,7.9,44.8,Manual
09:54:18,8.8,45.0,Manual
09:54:18,15.0,45.1,Manual
09:54:19,11.7,44.5,Manual
09:54:20,10.0,44.7,Manual
09:54:20,10.8,44.6,Manual
09:54:21,12.1,44.7,Manual
09:54:21,12.1,45.0,Manual
09:54:22,12.5,44.8,Manual
09:54:22,9.2,44.7,Manual
09:54:23,10.4,44.1,Manual
09:54:23,10.4,44.6,Manual
09:54:24,11.2,44.3,Manual
09:54:24,12.9,44.6,Manual
09:54:25,13.3,45.2,Manual
09:54:25,10.8,44.5,Manual
09:54:26,10.4,44.8,Manual
09:54:26,10.0,44.9,Manual
09:54:27,7.9,45.1,Manual
09:54:27,9.6,45.2,Manual
09:54:28,10.4,45.2,Manual
09:54:28,8.3,44.9,Manual
09:54:29,9.6,45.0,Manual
09:54:29,8.8,44.5,Manual
09:54:30,7.9,44.4,Manual
09:54:30,8.3,44.4,Manual
09:54:31,10.8,44.6,Manual
09:54:31,10.4,44.8,Manual
09:54:32,10.0,44.9,Manual
09:54:32,10.4,44.0,Manual
09:54:33,9.2,44.9,Manual
